experiment_id,module,n_clusters,p,s,tau,q,m_values,m_rule,design_type,rho_x,signal,error_dist,heteroskedastic,error_dependence,copula_rho,random_effect_dist,sigma_b0,sigma_b1,rho_b,x_b_corr,informative_size,nonlinear_re_strength,fit_random_effects,lambda_gamma,h_multiplier,lambda_beta_multipliers,dantzig_multipliers,screen_method,screen_dim,screen_fraction,force_target_inclusion,target_coordinate_count,workers,target_mode,replications,methods,notes
P01,pilot,80,200,5,0.5,1,3;4;5;6;7;8,uniform,ar1,0.5,0.75,gaussian,false,independent,0,normal,1,0.5,0.4,0,false,0,intercept,1,1,0.25;0.5;1;2,0.02;0.05;0.10;0.25;0.50;1;2;4,none,,0.5,true,4,1,structural,200,PROFILE-DQR|POOLED-QR-LASSO|SQR-DEBIASED-IID|PROFILE-DQR-TRUE-SUPPORT|PROFILE-DQR-POP-H|POSTREFIT-EXACT-H,Baseline geometry and variance pilot; p>n.
P02,pilot,120,300,8,0.5,2,3;4;5;6;7;8,uniform,ar1,0.5,0.75,t3,false,independent,0,normal,1,0.5,0.4,0,false,0,intercept+slope,1,1,0.25;0.5;1;2,0.02;0.05;0.10;0.25;0.50;1;2;4,none,,0.5,true,4,1,structural,200,PROFILE-DQR|POOLED-QR-LASSO|LQMM|BIAS-ADJ-LQMM|DOUBLE-PEN-QLMM|QGEE-SCAD|PROFILE-DQR-TRUE-SUPPORT|PROFILE-DQR-TRUE-NUISANCE,Random intercept-slope with heavy tails and direct comparators.
P03,pilot,120,300,8,0.25,1,3;4;5;6;7;8,uniform,ar1,0.5,0.75,skew_chisq3,false,independent,0,normal,1,0.5,0.4,0,false,0,intercept,1,1,0.25;0.5;1;2,0.02;0.05;0.10;0.25;0.50;1;2;4,none,,0.5,true,4,1,structural,200,PROFILE-DQR|POOLED-QR-LASSO|SQR-DEBIASED-IID|QIF-SEE|PROFILE-DQR-TRUE-SUPPORT,Lower quantile under skewness.
P04,pilot,120,300,8,0.75,2,3;4;5;6;7;8,uniform,ar1,0.5,0.75,contaminated_normal,false,independent,0,normal,1,0.5,0.4,0,false,0,intercept+slope,1,1,0.25;0.5;1;2,0.02;0.05;0.10;0.25;0.50;1;2;4,none,,0.5,true,4,1,structural,200,PROFILE-DQR|POOLED-QR-LASSO|LQMM|DOUBLE-PEN-QLMM|QGEE-SCAD|PROFILE-DQR-TRUE-SUPPORT|PROFILE-DQR-TRUE-NUISANCE,Upper quantile with random slope and contamination.
P05,pilot,200,500,5,0.5,1,"3;4;5;6;7;8",uniform,ar1,0.5,0.75,gaussian,false,independent,0,normal,1,0.5,0.4,0,false,0,intercept,1,1,"0.25;0.5;1;2","0.02;0.05;0.10;0.25;0.50;1;2;4",none,,0.5,true,4,1,structural,200,PROFILE-DQR|POOLED-QR-LASSO|SQR-DEBIASED-IID|PROFILE-DQR-TRUE-SUPPORT|PROFILE-DQR-POP-H|POSTREFIT-EXACT-H,First-order calibration gate (n=200).
P06,pilot,400,500,5,0.5,1,"3;4;5;6;7;8",uniform,ar1,0.5,0.75,gaussian,false,independent,0,normal,1,0.5,0.4,0,false,0,intercept,1,1,"0.25;0.5;1;2","0.02;0.05;0.10;0.25;0.50;1;2;4",none,,0.5,true,4,1,structural,200,PROFILE-DQR|POOLED-QR-LASSO|SQR-DEBIASED-IID|PROFILE-DQR-TRUE-SUPPORT|PROFILE-DQR-POP-H|POSTREFIT-EXACT-H,Scaling confirmation (n=400).
