experiment_id,module,n_clusters,p,s,tau,q,m_values,m_rule,geometric_pi,design_type,rho_x,signal,error_dist,heteroskedastic,dependence,copula_rho,random_effect_dist,sigma_b0,sigma_b1,rho_b,x_b_corr,informative_size,nonlinear_re_strength,fit_random_effects,lambda_gamma,h_multiplier,lambda_beta_multipliers,dantzig_multipliers,screen_method,screen_dim,target_mode,target_coords_count,worker_count,replications,methods,notes
P01,pilot,80,200,5,0.5,1,3;4;5;6;7;8,uniform,,ar1,0.5,0.75,gaussian,false,independent,,normal,1,0.5,0.4,0,false,0,intercept,1,1,0.25;0.5;1;2,0.5;1;2;4,none,,structural,4,1,200,PROFILE-DQR|POOLED-QR-LASSO|PROFILE-DQR-TRUE-SUPPORT|PROFILE-DQR-TRUE-NUISANCE,"Baseline p>n geometry, variance and nuisance-cost pilot."
P02,pilot,120,300,8,0.5,2,3;4;5;6;7;8,uniform,,ar1,0.5,0.75,t3,false,independent,,normal,1,0.5,0.4,0,false,0,intercept+slope,1,1,0.25;0.5;1;2,0.5;1;2;4,none,,structural,4,1,200,PROFILE-DQR|POOLED-QR-LASSO|LQMM|PROFILE-DQR-TRUE-SUPPORT|PROFILE-DQR-TRUE-NUISANCE,Random intercept-slope pilot with heavy tails.
P03,pilot,120,300,8,0.25,1,3;4;5;6;7;8,uniform,,ar1,0.5,0.75,skew_chisq3,false,independent,,normal,1,0.5,0.4,0,false,0,intercept,1,1,0.25;0.5;1;2,0.5;1;2;4,none,,structural,4,1,200,PROFILE-DQR|POOLED-QR-LASSO|SQR-DEBIASED-IID|PROFILE-DQR-TRUE-SUPPORT,Lower-quantile pilot under skewness.
P04,pilot,120,300,8,0.75,2,3;4;5;6;7;8,uniform,,ar1,0.5,0.75,contaminated_normal,false,independent,,normal,1,0.5,0.4,0,false,0,intercept+slope,1,1,0.25;0.5;1;2,0.5;1;2;4,none,,structural,4,1,200,PROFILE-DQR|POOLED-QR-LASSO|LQMM|PROFILE-DQR-TRUE-SUPPORT,Upper-quantile pilot with random slope and contamination.
